"SchoolName","SchoolSystem","SchoolGrade","SchoolGradeLetter","SchoolGradeNumber","GrowtStatus","GradeLevel","FreeReduced","Latitude","Longitude"
"Archer Lodge Middle","Johnston County Schools","C - 66","C","66","Met","61.5","36","35.70297623","-78.36502075"
"Johnston Co Early College Academy","Johnston County Schools","A - 93","A","93","Exceeded","90.6","34","35.50321653","-78.33247259"
"North Johnston High","Johnston County Schools","B - 70","B","70","Exceeded","51.1","44","35.57300568","-78.18398285"
"Micro-Pine Level Elementary","Johnston County Schools","C - 57","C","57","Met","50.4","61","35.53934479","-79.18541718"
"Powhatan Elementary","Johnston County Schools","B - 71","B","71","NotMet","73.9","15","35.62695600","-78.39277600"
"Princeton Elementary","Johnston County Schools","C - 62","C","62","Met","57.4","50","35.46479400","-78.17636800"
"Princeton High","Johnston County Schools","C - 69","C","69","Exceeded","58.0","42","35.46805191","-78.15729523"
"River Dell Elementary","Johnston County Schools","C - 66","C","66","NotMet","67.9","23","35.66828303","-78.35320339"
"Riverwood Elementary","Johnston County Schools","B - 71","B","71","Met","71.2","18","35.69192886","-78.42179108"
"Riverwood Middle","Johnston County Schools","B - 75","B","75","Exceeded","69.7","21","35.69352530","-78.42282280"
"South Campus Community High","Johnston County Schools","NA - NA","N","","NA","17.6","68","35.50211334","-78.33967590"
"South Campus Community Middle","Johnston County Schools","NA - NA","N","","NA","14.9","100","35.49131393","-78.34523010"
"Selma Elementary","Johnston County Schools","D - 49","D","49","Exceeded","38.9","88","35.54022767","-78.28295834"
"Selma Middle School","Johnston County Schools","F - 37","F","37","NotMet","30.8","77","35.54986082","-78.27339090"
"West Smithfield Elementary","Johnston County Schools","D - 46","D","46","Exceeded","34.5","92","35.50035596","-78.40531334"
"Smithfield Middle","Johnston County Schools","D - 54","D","54","Met","46.7","69","35.52810274","-78.33405443"
"Smithfield-Selma High","Johnston County Schools","D - 51","D","51","NotMet","38.1","54","35.52894974","-78.32133484"
"South Johnston High","Johnston County Schools","C - 68","C","68","Met","50.8","42","35.40685272","-78.49762726"
"South Smithfield Elementary","Johnston County Schools","D - 54","D","54","Met","49.2","79","35.49997039","-78.35726023"
"West Johnston High","Johnston County Schools","C - 69","C","69","NotMet","57.5","23","35.52371597","-78.53828430"
"Wilson's Mills Elementary","Johnston County Schools","B - 71","B","71","Exceeded","65.6","67","35.58401800","-78.35870300"
"Polenta Elementary","Johnston County Schools","C - 61","C","61","Met","56.0","33","35.56790161","-78.51244354"
"Clayton Middle","Johnston County Schools","C - 63","C","63","Exceeded","57.5","36","35.64581600","-78.48471000"
"West View Elementary","Johnston County Schools","B - 73","B","73","Met","70.2","21","35.59459305","-78.56448364"
"Neuse Charter School","Charter Schools","B - 76","B","76","Exceeded","72.4","13","35.53072661","-78.32089350"
"Pollocksville Elementary","Jones County Schools","D - 50","D","50","Exceeded","38.7","85","35.00490900","-77.22560100"
"Comfort Elementary","Jones County Schools","D - 51","D","51","Met","43.9","88","35.00752600","-77.51204600"
"Jones Senior High","Jones County Schools","B - 70","B","70","Met","51.6","78","35.19658573","-77.55986631"
"Jones Middle","Jones County Schools","C - 69","C","69","Met","65.2","79","35.10845184","-77.04206848"
"Maysville Elementary","Jones County Schools","D - 50","D","50","NotMet","44.7","81","34.90522385","-77.23682404"
"Trenton Elementary","Jones County Schools","C - 69","C","69","Exceeded","62.8","82","35.06571198","-77.45583344"
"BT Bullock Elementary","Lee County Schools","C - 56","C","56","NotMet","52.3","78","35.50534000","-79.18662200"
"Bragg Street Academy","Lee County Schools","NA - NA","N","","NA","10.6","84","35.48006439","-79.16011047"
"Broadway Elementary","Lee County Schools","D - 50","D","50","NotMet","47.3","78","35.45326106","-79.05183032"
"Deep River Elementary","Lee County Schools","C - 57","C","57","Met","51.5","81","35.58863068","-79.14627838"
"East Lee Middle","Lee County Schools","D - 49","D","49","NotMet","44.5","65","35.46228400","-79.11387600"
"Floyd L Knight Children Center","Lee County Schools","NA - NA","N","","NA","12.2","60","35.46321400","-79.16669400"
"Greenwood Elementary","Lee County Schools","C - 59","C","59","Met","56.3","79","35.38890481","-79.19305265"
"Lee Early College","Lee County Schools","B - 73","B","73","NotMet","58.4","51","35.47337700","-79.14461500"
"Lee County High","Lee County Schools","D - 54","D","54","NotMet","35.4","53","35.46565600","-79.14766600"
"J Glenn Edwards Elementary","Lee County Schools","C - 59","C","59","Met","54.0","82","35.43963242","-79.15132141"
"SanLee Middle School","Lee County Schools","D - 54","D","54","NotMet","52.9","73","35.43757014","-79.18922514"
"Southern Lee High School","Lee County Schools","C - 56","C","56","NotMet","40.5","57","35.43446700","-79.18711800"
"Tramway Elementary","Lee County Schools","C - 69","C","69","NotMet","70.1","39","35.43869019","-79.22680664"
"J R Ingram Jr Elementary","Lee County Schools","C - 62","C","62","NotMet","60.6","63","35.46941333","-79.21511650"
"West Lee Middle","Lee County Schools","D - 52","D","52","Met","48.0","62","35.46574000","-79.21554500"
"Warren Williams Elementary Alternative","Lee County Schools","NA - NA","N","","NA","33.3","94","35.49293900","-79.18417358"
"Banks Elementary","Lenoir County Public Schools","C - 65","C","65","Met","60.9","45","35.28119659","-77.68025208"
"Contentnea-Savannah School","Lenoir County Public Schools","D - 47","D","47","NotMet","42.9","56","35.32407984","-77.51951918"
"E B Frink Middle","Lenoir County Public Schools","D - 46","D","46","NotMet","44.0","40","35.31549800","-77.79307500"
"Kinston High","Lenoir County Public Schools","D - 44","D","44","NotMet","21.0","60","35.29475403","-77.57449341"
"La Grange Elementary","Lenoir County Public Schools","D - 54","D","54","Met","46.1","60","35.31092800","-77.79605800"
"Lenoir County Early College High","Lenoir County Public Schools","B - 74","B","74","NotMet","70.2","34","35.22189103","-77.57610507"
"Lenoir County Learning Academy","Lenoir County Public Schools","NA - NA","N","","NA","5.0","52","35.22858810","-77.63533020"
"Moss Hill Elementary","Lenoir County Public Schools","C - 66","C","66","Met","64.6","55","35.19563675","-77.75325775"
"North Lenoir High","Lenoir County Public Schools","D - 54","D","54","NotMet","32.0","35","35.34103945","-77.67548025"
"Northeast Elementary","Beaufort County Schools","C - 56","C","56","Exceeded","48.8","73","35.27764678","-77.56755888"
"Northeast Elementary","Lenoir County Public Schools","F - 34","F","34","NotMet","25.7","85","35.27764678","-77.56755888"
"Northeast Elementary","Wayne County Public Schools","C - 57","C","57","NotMet","54.9","57","35.27764678","-77.56755888"
"Northwest Elementary","Davidson County Schools","C - 69","C","69","Met","66.3","36","35.27724075","-77.60398102"
"Northwest Elementary","Lenoir County Public Schools","D - 47","D","47","Met","38.4","60","35.27724075","-77.60398102"
"Northwest Elementary","Pitt County Schools","D - 47","D","47","NotMet","43.7","100","35.27724075","-77.60398102"
"Northwest Elementary","Wayne County Public Schools","C - 63","C","63","Exceeded","56.7","43","35.27724075","-77.60398102"
"Pink Hill Elementary","Lenoir County Public Schools","C - 56","C","56","Exceeded","49.0","54","35.07273865","-77.74266815"
"Rochelle Middle","Lenoir County Public Schools","F - 34","F","34","Met","24.1","71","35.26272565","-77.56282344"
"South Lenoir High","Lenoir County Public Schools","C - 60","C","60","NotMet","45.2","32","35.14609909","-77.70273590"
"Southeast Elementary","Lenoir County Public Schools","F - 30","F","30","Met","18.0","88","35.25794200","-77.57144900"
"Southwood Elementary","Davidson County Schools","C - 56","C","56","Met","49.4","69","35.20735279","-77.56575979"
"Southwood Elementary","Lenoir County Public Schools","C - 57","C","57","Met","51.9","49","35.20735279","-77.56575979"
"Woodington Middle","Lenoir County Public Schools","D - 48","D","48","NotMet","46.1","42","35.16338333","-77.63394155"
"Children's Village Academy","Charter Schools","D - 46","D","46","Exceeded","35.7","100","35.26668100","-77.56634500"
"Battleground Elementary","Lincoln County Schools","D - 52","D","52","Met","45.9","100","35.48088714","-81.25857621"
"Catawba Springs Elementary","Lincoln County Schools","B - 80","B","80","Exceeded","77.9","31","35.45569651","-81.02244794"
"GE Massey Elementary","Lincoln County Schools","C - 68","C","68","Met","63.5","79","35.47916400","-81.23745700"
"East Lincoln High","Lincoln County Schools","C - 69","C","69","NotMet","59.4","35","35.45554352","-81.02550507"
"East Lincoln Middle","Lincoln County Schools","B - 71","B","71","Met","68.2","35","35.47448605","-81.09578758"
"Kiser Intermediate","Lincoln County Schools","C - 56","C","56","Met","50.2","81","35.47876358","-81.26408386"
"Iron Station Elementary","Lincoln County Schools","C - 66","C","66","Met","61.9","58","35.46012878","-81.16574097"
"LCST","Lincoln County Schools","I - NA","I","","NA","NA","NA","35.48040300","-81.23898300"
"Lincolnton High","Lincoln County Schools","C - 63","C","63","NotMet","46.7","66","35.47953033","-81.26029205"
"Lincolnton Middle","Lincoln County Schools","C - 62","C","62","Exceeded","53.2","72","35.52073538","-81.26369320"
"Love Memorial Elementary","Lincoln County Schools","C - 63","C","63","Met","57.3","63","35.44896600","-81.27548900"
"Childers Elementary","Lincoln County Schools","B - 75","B","75","Met","73.3","62","35.48042679","-81.31626129"
"North Brook Elementary","Lincoln County Schools","C - 69","C","69","Exceeded","64.5","59","35.49356079","-81.45375824"
"North Lincoln High","Lincoln County Schools","B - 81","B","81","Exceeded","71.9","29","35.53440475","-81.12084961"
"Pumpkin Center Primary","Lincoln County Schools","I - NA","I","","NA","NA","43","35.51688385","-81.13590240"
"Pumpkin Center Intermediate","Lincoln County Schools","B - 74","B","74","Met","72.3","37","35.51831134","-81.13430209"
"North Lincoln Middle","Lincoln County Schools","B - 76","B","76","Met","75.5","33","35.51056671","-81.12373352"
"Rock Springs Elementary","Lincoln County Schools","B - 77","B","77","Met","75.6","27","35.52899551","-81.02605438"
"S Ray Lowder Elementary","Lincoln County Schools","C - 63","C","63","Met","60.2","71","35.46309280","-81.24448395"
"St James Elementary","Lincoln County Schools","B - 80","B","80","Met","80.5","28","35.48565674","-81.01628876"
"Union Elementary","Brunswick County Schools","B - 75","B","75","Exceeded","71.8","99","35.51734543","-81.36854553"
"Union Elementary","Cleveland County Schools","C - 62","C","62","Met","56.5","72","35.51734543","-81.36854553"
"Union Elementary","Lincoln County Schools","B - 79","B","79","Exceeded","76.5","51","35.51734543","-81.36854553"
"Union Elementary","Robeson County Schools","C - 57","C","57","Exceeded","48.2","83","35.51734543","-81.36854553"
"Union Elementary","Sampson County Schools","B - 74","B","74","Exceeded","71.3","91","35.51734543","-81.36854553"
"Union Elementary","Union County Public Schools","B - 70","B","70","Met","67.1","62","35.51734543","-81.36854553"
"West Lincoln High","Lincoln County Schools","C - 66","C","66","NotMet","54.7","53","35.48533630","-81.38997650"
"West Lincoln Middle","Lincoln County Schools","C - 62","C","62","Met","57.5","60","35.48275375","-81.38623810"
"Lincoln Charter School","Charter Schools","B - 82","B","82","Met","80.8","2","35.48707835","-80.99773876"
"Cartoogechaye Elementary","Macon County Schools","C - 69","C","69","Exceeded","64.0","70","35.16663149","-83.43476437"
"East Franklin Elementary","Macon County Schools","C - 58","C","58","Met","52.8","79","35.18944168","-83.37191772"
"Franklin High","Macon County Schools","C - 63","C","63","NotMet","49.1","59","35.17650604","-83.38059235"
"Highlands School","Macon County Schools","B - 72","B","72","Met","64.2","49","35.04717931","-83.19440156"
"Iotla Valley Elementary","Macon County Schools","C - 67","C","67","Met","62.7","79","35.22673416","-83.41507721"
"Macon Early College High School","Macon County Schools","B - 82","B","82","Met","73.4","48","35.16033836","-83.38076681"
"Macon Middle School","Macon County Schools","C - 61","C","61","Met","55.7","66","35.16121674","-83.35832214"
"Mountain View Intermediate","Macon County Schools","D - 52","D","52","NotMet","52.0","69","35.16194916","-83.36238098"
"Nantahala School","Macon County Schools","C - 61","C","61","Met","55.0","83","35.21398926","-83.64164734"
"South Macon Elementary","Macon County Schools","B - 72","B","72","Exceeded","67.6","73","35.21398926","-83.64164734"
"Union Academy","Charter Schools","B - 77","B","77","NotMet","76.8","3","35.11660767","-83.39960480"
"Union Academy","Macon County Schools","NA - NA","N","","NA","14.8","90","35.11660767","-83.39960480"
"Brush Creek Elementary","Madison County Schools","B - 70","B","70","Met","67.0","69","35.84225845","-82.71511841"
"Hot Springs Elementary","Madison County Schools","C - 69","C","69","Met","65.8","81","35.89221191","-82.83222961"
"Madison Early College High","Madison County Schools","A - 87","A","87","Exceeded","87.1","48","35.83581582","-82.55252548"
"Madison High","Madison County Schools","C - 64","C","64","NotMet","48.3","57","35.81572342","-82.67314148"
"Madison Middle","Madison County Schools","C - 62","C","62","Exceeded","55.7","61","35.84066010","-82.71609497"
"Mars Hill Elementary","Madison County Schools","B - 74","B","74","Exceeded","70.6","61","35.83581783","-82.54928671"
"Williamston Primary","Martin County Schools","I - NA","I","","NA","NA","69","35.84262800","-77.07334100"
"E J Hayes Elementary","Martin County Schools","D - 46","D","46","NotMet","42.6","63","35.84659195","-77.06208801"
"East End Elementary","Martin County Schools","F - 33","F","33","NotMet","25.0","61","35.82243964","-77.24167049"
"Edna Andrews Elementary","Martin County Schools","D - 41","D","41","Met","33.5","59","35.94018795","-77.20648661"
"Jamesville Elementary","Martin County Schools","D - 51","D","51","NotMet","47.1","46","35.80973053","-76.90108490"
"South Creek High","Martin County Schools","C - 66","C","66","Met","50.7","38","35.85623932","-77.24359131"
"South Creek Middle","Martin County Schools","C - 56","C","56","Met","49.4","54","35.85576630","-77.24802399"
"Rodgers Elementary","Martin County Schools","D - 49","D","49","Met","41.9","46","35.78189850","-77.07707977"
"Riverside High","Durham Public Schools","C - 58","C","58","NotMet","40.8","52","35.83601379","-77.07212067"
"Riverside High","Martin County Schools","C - 58","C","58","NotMet","43.3","38","35.83601379","-77.07212067"
"Riverside Middle","Martin County Schools","D - 44","D","44","NotMet","41.2","55","35.81481934","-77.06726074"
"Bear Grass","Charter Schools","C - 59","C","59","NotMet","54.2","12","35.76838303","-77.12789154"
"Eastfield Global Magnet","McDowell County Schools","D - 49","D","49","NotMet","46.5","100","35.68688482","-81.98636882"
"East McDowell Middle","McDowell County Schools","C - 56","C","56","NotMet","54.7","64","35.68789668","-81.99666180"
"Glenwood Elementary","Chapel Hill-Carrboro Schools","A+ - 86","A","86","Exceeded","85.5","27","35.61490439","-81.98183522"
"Glenwood Elementary","McDowell County Schools","C - 69","C","69","Exceeded","63.6","82","35.61490439","-81.98183522"
"Marion Elementary","Cleveland County Schools","C - 60","C","60","Met","54.6","70","35.69141977","-82.00608440"
"Marion Elementary","McDowell County Schools","C - 57","C","57","NotMet","56.1","90","35.69141977","-82.00608440"
"McDowell Early College","McDowell County Schools","A - 85","A","85","Met","81.5","39","35.65660067","-81.96078256"
"McDowell High","McDowell County Schools","C - 59","C","59","NotMet","45.3","54","35.71482849","-82.03487396"
"Nebo Elementary","McDowell County Schools","D - 51","D","51","NotMet","48.6","91","35.71382292","-81.92871541"
"North Cove Elementary","McDowell County Schools","C - 62","C","62","Met","59.2","77","35.78809798","-82.03305267"
"Old Fort Elementary","McDowell County Schools","C - 60","C","60","Met","56.3","88","35.62576935","-82.17958912"
"Pleasant Gardens Elementary","McDowell County Schools","D - 50","D","50","NotMet","47.1","70","35.69171615","-82.06917398"
"West Marion Elementary","McDowell County Schools","C - 59","C","59","Met","52.4","98","35.62219262","-82.06111327"
"West McDowell Middle","McDowell County Schools","C - 58","C","58","Met","53.7","61","35.71482849","-82.03487396"
"McDowell AEC","McDowell County Schools","NA - NA","N","","NA","20.3","78","35.65838568","-82.02804767"
"Albemarle Road Elementary","Charlotte-Mecklenburg Schools","D - 47","D","47","Exceeded","36.2","93","35.65838568","-82.02804767"
"Albemarle Road Middle","Charlotte-Mecklenburg Schools","D - 50","D","50","Exceeded","39.5","88","35.20050108","-80.73110372"
"Ardrey Kell High","Charlotte-Mecklenburg Schools","A - 93","A","93","Exceeded","89.0","11","35.03020800","-80.82596500"
"J M Alexander Middle","Charlotte-Mecklenburg Schools","C - 57","C","57","NotMet","58.5","43","35.37902400","-80.83550200"
"Allenbrook Elementary","Charlotte-Mecklenburg Schools","D - 46","D","46","NotMet","44.5","96","35.26224800","-80.91541200"
"Ashley Park PreK-8 School","Charlotte-Mecklenburg Schools","F - 33","F","33","NotMet","27.6","95","35.23258500","-80.89049500"
"William Amos Hough High","Charlotte-Mecklenburg Schools","A+ - 89","A","89","Exceeded","81.4","17","35.46957090","-80.83054394"
"Bailey Middle","Charlotte-Mecklenburg Schools","B - 82","B","82","Exceeded","79.7","20","35.46657181","-80.83944702"
"Bain Elementary","Charlotte-Mecklenburg Schools","A - 87","A","87","Exceeded","86.4","24","35.17529905","-80.64791568"
"Barringer Academic Center","Charlotte-Mecklenburg Schools","C - 60","C","60","Met","57.9","57","35.21120042","-80.88977784"
"Whitewater Middle","Charlotte-Mecklenburg Schools","D - 47","D","47","Exceeded","35.3","87","35.28552979","-80.98939441"
"Whitewater Academy","Charlotte-Mecklenburg Schools","D - 54","D","54","Met","47.2","86","35.28304674","-80.98914899"
"Berryhill School","Charlotte-Mecklenburg Schools","C - 59","C","59","Exceeded","51.3","91","35.21236038","-80.99036407"
"Beverly Woods Elementary","Charlotte-Mecklenburg Schools","B - 80","B","80","Met","78.7","15","35.13169400","-80.83620400"
"Barnette Elementary","Charlotte-Mecklenburg Schools","B - 73","B","73","Met","71.3","21","35.40042423","-80.92403233"
"Briarwood Elementary","Charlotte-Mecklenburg Schools","D - 45","D","45","Met","37.6","95","35.25221200","-80.76586900"
"Carmel Middle","Charlotte-Mecklenburg Schools","B - 78","B","78","Exceeded","73.6","41","35.25221200","-80.76586900"
"Cato Middle College High","Charlotte-Mecklenburg Schools","A - 96","A","96","NA","NA","37","35.26398400","-80.73076600"
"Billingsville Elementary","Charlotte-Mecklenburg Schools","D - 52","D","52","Exceeded","42.6","95","35.19739106","-80.80902323"
"Chantilly Montessori","Charlotte-Mecklenburg Schools","B - 79","B","79","Met","78.9","19","35.20771700","-80.80152100"
"Clear Creek Elementary","Charlotte-Mecklenburg Schools","C - 69","C","69","Met","67.1","57","35.22472000","-80.62522100"
"Clear Creek Elementary","Henderson County Schools","B - 79","B","79","Met","77.7","67","35.22472000","-80.62522100"
"Cochrane Collegiate Academy","Charlotte-Mecklenburg Schools","D - 44","D","44","Met","33.3","88","35.22472000","-80.62522100"
"Collinswood Language Academy","Charlotte-Mecklenburg Schools","B - 77","B","77","Met","78.8","54","35.18512344","-80.87148285"
"Community House Middle","Charlotte-Mecklenburg Schools","A - 89","A","89","Exceeded","86.2","15","35.03693390","-80.82470703"
"Cornelius Elementary","Charlotte-Mecklenburg Schools","B - 73","B","73","NotMet","76.3","30","35.48118210","-80.86481476"
"Cotswold Elementary","Charlotte-Mecklenburg Schools","B - 70","B","70","Met","66.3","39","35.17901230","-80.79743958"
"Crown Point Elementary","Charlotte-Mecklenburg Schools","B - 73","B","73","Exceeded","69.6","59","35.15750500","-80.71614000"
"Crestdale Middle","Charlotte-Mecklenburg Schools","B - 75","B","75","NotMet","79.3","24","35.12928000","-80.71647600"
"Davidson Elementary","Charlotte-Mecklenburg Schools","B - 84","B","84","Exceeded","83.6","13","35.48945200","-80.84795300"
"Butler High","Charlotte-Mecklenburg Schools","B - 81","B","81","Exceeded","69.5","44","35.11880400","-80.69032200"
"David Cox Road Elementary","Charlotte-Mecklenburg Schools","D - 45","D","45","NotMet","40.8","67","35.33630300","-80.80066600"
"Military and Global Leadership Academy","Charlotte-Mecklenburg Schools","C - 55","C","55","Exceeded","44.3","80","35.20848083","-80.85741425"
"Devonshire Elementary","Charlotte-Mecklenburg Schools","D - 48","D","48","Met","40.6","96","35.24575129","-80.74518062"
"Dilworth Elementary","Charlotte-Mecklenburg Schools","B - 81","B","81","Met","83.1","21","35.21157800","-80.85142500"
"First Ward Creative Arts Acad","Charlotte-Mecklenburg Schools","C - 60","C","60","Exceeded","53.2","81","35.22914505","-80.83241272"
"Berewick Elementary","Charlotte-Mecklenburg Schools","C - 59","C","59","Met","52.5","56","35.17514000","-80.97868300"
"Druid Hills Academy","Charlotte-Mecklenburg Schools","F - 34","F","34","NotMet","26.7","98","35.25750700","-80.82488200"
"East Mecklenburg High","Charlotte-Mecklenburg Schools","B - 78","B","78","Exceeded","63.4","62","35.17612800","-80.75905600"
"Eastover Elementary","Charlotte-Mecklenburg Schools","B - 72","B","72","NotMet","74.0","24","35.19636900","-80.82140300"
"Eastway Middle","Charlotte-Mecklenburg Schools","F - 39","F","39","NotMet","34.4","92","35.21045600","-80.77754200"
"Elizabeth Lane Elem","Charlotte-Mecklenburg Schools","A - 88","A","88","Exceeded","88.6","10","35.11303329","-80.74724579"
"Elon Park Elementary","Charlotte-Mecklenburg Schools","A+ - 89","A","89","Exceeded","88.9","7","35.02297640","-80.84456116"
"Elizabeth Traditional Elem","Charlotte-Mecklenburg Schools","B - 70","B","70","NotMet","70.2","45","35.21556800","-80.82548500"
"Endhaven Elementary","Charlotte-Mecklenburg Schools","B - 79","B","79","Exceeded","75.9","28","35.06650543","-80.83534241"
"Hawthorne High","Charlotte-Mecklenburg Schools","C - 64","C","64","Exceeded","59.5","88","35.22846200","-80.81475800"
"Polo Ridge Elementary","Charlotte-Mecklenburg Schools","A+ - 89","A","89","Met","90.9","5","35.04604700","-80.79691300"
"Francis Bradley Middle","Charlotte-Mecklenburg Schools","B - 77","B","77","Exceeded","72.8","34","35.39594628","-80.92362799"
"Garinger High","Charlotte-Mecklenburg Schools","D - 53","D","53","Exceeded","30.0","87","35.24103100","-80.78258500"
"Greenway Park Elementary","Charlotte-Mecklenburg Schools","D - 52","D","52","Met","46.5","82","35.15761500","-80.74651300"
"Alexander Graham Middle","Charlotte-Mecklenburg Schools","B - 74","B","74","Exceeded","69.5","36","35.16742700","-80.83370200"
"Harding University High","Charlotte-Mecklenburg Schools","D - 45","D","45","NotMet","26.0","82","35.23629700","-80.90199200"
"Hawk Ridge Elementary","Charlotte-Mecklenburg Schools","B - 81","B","81","NotMet","83.6","13","35.04332352","-80.82459259"
"Hickory Grove Elementary","Charlotte-Mecklenburg Schools","C - 55","C","55","Exceeded","46.7","89","35.22674900","-80.71633100"
"Highland Creek Elementary","Charlotte-Mecklenburg Schools","B - 71","B","71","NotMet","71.3","24","35.37841804","-80.76182306"
"Hidden Valley Elementary","Charlotte-Mecklenburg Schools","D - 45","D","45","Met","38.5","97","35.26766200","-80.78482000"
"Highland Mill Montessori","Charlotte-Mecklenburg Schools","B - 73","B","73","Met","70.9","34","35.24313700","-80.80437400"
"Highland Renaissance Academy","Charlotte-Mecklenburg Schools","C - 60","C","60","Met","54.2","92","35.25606100","-80.80302400"
"Hopewell High","Charlotte-Mecklenburg Schools","C - 68","C","68","Met","48.3","46","35.37919617","-80.90954590"
"Hornets Nest Elementary","Charlotte-Mecklenburg Schools","C - 59","C","59","Exceeded","52.0","79","35.32453100","-80.86486000"
"Croft Community Elementary","Charlotte-Mecklenburg Schools","C - 61","C","61","Met","57.5","41","35.34683200","-80.80545000"
"Huntersville Elementary","Charlotte-Mecklenburg Schools","A+ - 85","A","85","Met","85.9","27","35.41083500","-80.84613800"
"Huntingtowne Farms Elementary","Charlotte-Mecklenburg Schools","D - 49","D","49","Met","41.8","86","35.13364792","-80.85964203"
"Idlewild Elementary","Charlotte-Mecklenburg Schools","C - 68","C","68","Exceeded","62.1","83","35.18769800","-80.74377400"
"Independence High","Charlotte-Mecklenburg Schools","B - 78","B","78","Exceeded","65.6","54","35.19676590","-80.68884277"
"James Martin Middle","Charlotte-Mecklenburg Schools","D - 44","D","44","Met","34.8","81","35.30225001","-80.76878875"
"Morehead STEM Academy","Charlotte-Mecklenburg Schools","B - 77","B","77","Exceeded","75.4","59","35.29999696","-80.77570081"
"Jay M Robinson Middle","Charlotte-Mecklenburg Schools","A - 92","A","92","Exceeded","90.7","12","35.06300354","-80.78458405"
"Joseph W Grier Academy","Charlotte-Mecklenburg Schools","C - 69","C","69","Exceeded","63.6","83","35.26709700","-80.72611200"
"J.V. Washam Elementary","Charlotte-Mecklenburg Schools","B - 73","B","73","NotMet","76.9","19","35.46503400","-80.86777400"
"Kennedy Middle","Charlotte-Mecklenburg Schools","D - 46","D","46","NotMet","42.3","67","35.15430000","-80.95563500"
"Trillium Springs Montessori","Charlotte-Mecklenburg Schools","I - NA","I","","NA","NA","23","35.35021900","-80.89096000"
"Lake Wylie Elementary","Charlotte-Mecklenburg Schools","C - 63","C","63","Exceeded","57.4","60","35.11551200","-80.97108400"
"Ballantyne Elementary","Charlotte-Mecklenburg Schools","A+ - 86","A","86","Exceeded","84.0","16","35.03714718","-80.85695498"
"Lansdowne Elementary","Charlotte-Mecklenburg Schools","C - 67","C","67","Met","62.8","50","35.14389400","-80.78155500"
"Turning Point Academy","Charlotte-Mecklenburg Schools","NA - NA","N","","NA","10.3","86","35.26758100","-80.84173500"
"Turning Point Academy","Cleveland County Schools","NA - NA","N","","NA","5.7","88","35.26758100","-80.84173500"
"Lebanon Road Elementary","Charlotte-Mecklenburg Schools","C - 60","C","60","Met","55.1","79","35.18325400","-80.68944500"
"Blythe Elementary","Charlotte-Mecklenburg Schools","C - 66","C","66","Met","63.3","48","35.37594600","-80.83790500"
"Levine Middle College High","Charlotte-Mecklenburg Schools","A - 98","A","98","NA","NA","33","35.10486491","-80.69234982"
"Long Creek Elementary","Charlotte-Mecklenburg Schools","C - 63","C","63","Met","57.6","54","35.35021900","-80.89096000"
"Mallard Creek High","Charlotte-Mecklenburg Schools","B - 77","B","77","Exceeded","61.5","46","35.36379200","-80.76869900"
"Mallard Creek Elementary","Charlotte-Mecklenburg Schools","C - 63","C","63","Met","59.0","49","35.33573500","-80.77587100"
"Matthews Elementary","Charlotte-Mecklenburg Schools","B - 82","B","82","Exceeded","79.4","31","35.11242676","-80.72284698"
"Martin Luther King Jr Middle","Charlotte-Mecklenburg Schools","F - 34","F","34","NotMet","27.4","93","35.26342000","-80.78022000"
"McAlpine Elementary","Charlotte-Mecklenburg Schools","B - 73","B","73","NotMet","75.0","25","35.08192825","-80.82907867"
"McClintock Middle","Charlotte-Mecklenburg Schools","D - 48","D","48","Met","39.3","86","35.17897032","-80.76795392"
"McKee Road Elementary","Charlotte-Mecklenburg Schools","B - 83","B","83","Met","83.7","16","35.06810700","-80.75437900"
"Merry Oaks Elementary","Charlotte-Mecklenburg Schools","D - 47","D","47","Met","38.1","93","35.21966500","-80.78243200"
"Metro School","Charlotte-Mecklenburg Schools","NA - NA","N","","NA","24.2","80","35.21981701","-80.84234364"
"Mint Hill Middle","Charlotte-Mecklenburg Schools","B - 76","B","76","Exceeded","71.3","46","35.15285800","-80.69651700"
"Rocky River High","Charlotte-Mecklenburg Schools","C - 64","C","64","Exceeded","42.5","70","35.21488100","-80.64135700"
"Montclaire Elementary","Charlotte-Mecklenburg Schools","D - 45","D","45","Met","35.9","93","35.15159900","-80.86663800"
"Lincoln Heights Academy","Charlotte-Mecklenburg Schools","NA - NA","N","","NA","<5","79","35.25886154","-80.84238434"
"Mountain Island Lake Academy","Charlotte-Mecklenburg Schools","C - 60","C","60","NotMet","59.2","53","35.30851163","-80.92971995"
"River Oaks Academy","Charlotte-Mecklenburg Schools","C - 57","C","57","Met","50.8","72","35.30759633","-80.97858645"
"Myers Park Traditional","Charlotte-Mecklenburg Schools","B - 71","B","71","Exceeded","67.1","33","35.18981900","-80.83536500"
"Myers Park High","Charlotte-Mecklenburg Schools","A - 87","A","87","Exceeded","77.9","31","35.17293500","-80.83188600"
"Nathaniel Alexander Elementary","Charlotte-Mecklenburg Schools","C - 56","C","56","Exceeded","47.3","79","35.30117512","-80.77523813"
"Nations Ford Elementary","Charlotte-Mecklenburg Schools","D - 43","D","43","Met","33.2","93","35.14020100","-80.89596500"
"Newell Elementary","Charlotte-Mecklenburg Schools","D - 48","D","48","Met","41.3","91","35.28708078","-80.75507529"
"J H Gunn Elementary","Charlotte-Mecklenburg Schools","C - 55","C","55","Exceeded","46.8","81","35.21547854","-80.68701223"
