school_name_value,school_system_value,schoolgrade_value,growthstatus_value,gradelevel_value,freereduced_value
"Sternberger Elementary","Guilford County Schools","C - 65","NotMet","67.0","15"
"STEM Early College @ NC A&T SU","Guilford County Schools","A - 96","Exceeded",">95","27"
"Stokesdale Elementary","Guilford County Schools","B - 78","Met","77.9","20"
"Summerfield Elementary","Guilford County Schools","B - 83","Exceeded","82.2","22"
"Sumner Elementary","Guilford County Schools","F - 37","NotMet","31.8","98"
"Triangle Lake Montessori Elem","Guilford County Schools","C - 57","NotMet","53.5","63"
"UNCG Early/Middle College","Guilford County Schools","A - 88","Exceeded","82.9","49"
"Union Hill Elementary","Guilford County Schools","D - 44","Met","34.5","100"
"Vandalia Elementary","Guilford County Schools","D - 45","Met","38.3","96"
"Washington Elementary","Guilford County Schools","F - 38","NotMet","30.8","100"
"Philip J Weaver Ed Center","Guilford County Schools","A - 91","Met","88.1","17"
"Welborn Middle","Guilford County Schools","F - 30","NotMet","25.5","100"
"Western Guilford High","Guilford County Schools","C - 68","Met","53.6","46"
"Wiley Accel/Enrichment","Guilford County Schools","F - 36","NotMet","27.6","100"
"Aurelian Springs Elementary","Halifax County Schools","D - 50","Met","42.9","100"
"Dawson Elementary","Halifax County Schools","F - 33","NotMet","27.1","100"
"Enfield Middle","Halifax County Schools","F - 31","Exceeded","16.7","100"
"Everetts Elementary","Halifax County Schools","F - 38","Met","28.9","100"
"Hollister Elementary","Halifax County Schools","C - 57","Exceeded","48.6","100"
"Inborden Elementary","Halifax County Schools","D - 41","Exceeded","30.0","100"
"Northwest Halifax High","Halifax County Schools","D - 53","Met","26.7","100"
"Pittman Elementary","Halifax County Schools","C - 67","Met","62.9","100"
"Scotland Neck Primary","Halifax County Schools","D - 54","Met","46.9","100"
"Southeast Halifax High","Halifax County Schools","C - 60","Exceeded","26.1","100"
"William R Davie Middle","Halifax County Schools","D - 43","NotMet","36.8","100"
"Anderson Creek Primary","Harnett County Schools","I - NA","NA","NA","60"
"Angier Elementary","Harnett County Schools","D - 54","Exceeded","44.9","75"
"Benhaven Elementary","Harnett County Schools","D - 52","NotMet","48.0","64"
"Boone Trail Elementary","Harnett County Schools","C - 59","Exceeded","50.1","62"
"Buies Creek Elementary","Harnett County Schools","C - 66","Met","63.2","42"
"Coats Elementary","Harnett County Schools","C - 57","Exceeded","49.0","70"
"Coats-Erwin Middle","Harnett County Schools","D - 48","NotMet","43.9","67"
"Dunn Middle","Harnett County Schools","D - 45","Met","36.4","77"
"Erwin Elementary","Harnett County Schools","C - 60","Exceeded","51.8","66"
"Gentry Primary","Harnett County Schools","I - NA","NA","NA","74"
"Harnett Primary","Harnett County Schools","D - 42","NotMet","37.0","85"
"STAR Academy","Harnett County Schools","NA - NA","NA","5.0","95"
"Harnett Central High","Harnett County Schools","B - 72","Exceeded","52.3","54"
"Harnett Central Middle","Harnett County Schools","D - 50","Met","45.2","56"
"Johnsonville Elementary","Harnett County Schools","D - 41","NotMet","36.0","75"
"Highland Elementary","Harnett County Schools","C - 65","Met","61.4","44"
"Highland Middle","Harnett County Schools","C - 58","Exceeded","50.2","NA"
"LaFayette Elementary","Harnett County Schools","B - 71","Met","67.5","42"
"Lillington-Shawtown Elementary","Harnett County Schools","D - 49","Exceeded","38.2","66"
"North Harnett Primary","Harnett County Schools","I - NA","NA","NA","78"
"Overhills Elementary","Harnett County Schools","C - 56","Met","49.1","46"
"Overhills Middle","Harnett County Schools","D - 45","NotMet","42.1","50"
"Overhills High","Harnett County Schools","C - 55","NotMet","39.4","46"
"South Harnett Elementary","Harnett County Schools","C - 59","Exceeded","50.8","64"
"Triton High","Harnett County Schools","C - 58","NotMet","39.7","59"
"Wayne Avenue Elem","Harnett County Schools","D - 41","Exceeded","28.9","81"
"Western Harnett High","Harnett County Schools","C - 62","NotMet","44.7","57"
"Western Harnett Middle","Harnett County Schools","D - 54","Exceeded","44.1","59"
"Bethel Elementary","Haywood County Schools","B - 76","NotMet","80.1","56"
"Bethel Middle","Haywood County Schools","B - 72","Met","68.9","48"
"Canton Middle","Haywood County Schools","C - 64","NotMet","64.0","56"
"Central Elementary","Haywood County Schools","C - 66","Met","62.6","100"
"Central Haywood High","Haywood County Schools","NA - NA","NA","20.4","98"
"Clyde Elementary","Haywood County Schools","B - 77","Exceeded","72.6","69"
"Riverbend Elementary","Haywood County Schools","A+ - 88","Exceeded","88.1","49"
"Haywood Early College","Haywood County Schools","A - 86","Met","81.8","48"
"Hazelwood Elementary","Haywood County Schools","B - 71","Met","69.2","61"
"Jonathan Valley Elementary","Haywood County Schools","B - 71","Met","69.7","52"
"Junaluska Elementary","Haywood County Schools","B - 79","Met","78.7","47"
"Meadowbrook Elementary","Haywood County Schools","B - 71","Exceeded","67.6","64"
"North Canton Elementary","Haywood County Schools","B - 73","Exceeded","70.0","69"
"Pisgah High","Haywood County Schools","C - 69","NotMet","58.4","47"
"Tuscola High","Haywood County Schools","C - 66","NotMet","58.1","41"
"Waynesville Middle","Haywood County Schools","C - 65","Met","62.4","57"
"Apple Valley Middle","Henderson County Schools","C - 67","Exceeded","60.6","67"
"Atkinson Elementary","Henderson County Schools","B - 76","Exceeded","73.4","46"
"Bruce Drysdale Elementary","Henderson County Schools","D - 53","NotMet","51.5","76"
"Clear Creek Elementary","Henderson County Schools","B - 79","Met","77.7","67"
"Dana Elementary","Henderson County Schools","B - 70","Met","66.5","79"
"East Henderson High","Henderson County Schools","C - 69","NotMet","57.5","50"
"Edneyville Elementary","Henderson County Schools","C - 57","NotMet","54.4","73"
"Etowah Elementary","Henderson County Schools","B - 79","Met","80.4","57"
"Flat Rock Middle","Henderson County Schools","C - 65","Met","62.1","66"
"Fletcher Elementary","Henderson County Schools","B - 75","Exceeded","71.0","44"
"Hendersonville Elementary","Henderson County Schools","B - 80","Met","79.1","35"
"Hendersonville High","Henderson County Schools","B - 84","Exceeded","73.3","37"
"Hendersonville Middle","Henderson County Schools","B - 76","Exceeded","71.6","47"
"Hillandale Elementary","Henderson County Schools","C - 69","Exceeded","63.2","68"
"Glenn C Marlow Elementary","Henderson County Schools","A+ - 86","Exceeded","86.1","33"
"Mills River Elementary","Henderson County Schools","B - 76","Exceeded","72.4","40"
"North Henderson High","Henderson County Schools","B - 74","Exceeded","57.1","53"
"Rugby Middle","Henderson County Schools","B - 77","Exceeded","73.5","42"
"Balfour Education Center","Henderson County Schools","NA - NA","NA","15.8","100"
"Sugarloaf Elementary","Henderson County Schools","C - 60","Met","55.4","89"
"Upward Elementary","Henderson County Schools","C - 65","Exceeded","59.0","81"
"West Henderson High","Henderson County Schools","B - 78","Met","70.6","34"
"Henderson County Early College","Henderson County Schools","A - 98","Exceeded",">95","57"
"Ahoskie Elementary","Hertford County Schools","D - 42","NotMet","35.3","83"
"Bearfield Primary","Hertford County Schools","D - 51","Exceeded","42.4","86"
"Hertford County Middle","Hertford County Schools","F - 36","NotMet","31.2","85"
"Hertford County High","Hertford County Schools","C - 57","Met","27.2","73"
"Hertford Co Early College","Hertford County Schools","B - 77","Exceeded","67.3","69"
"Riverview Elementary","Hertford County Schools","D - 40","Met","30.2","91"
"CS Brown High","Hertford County Schools","C - 67","Exceeded","62.7","96"
"Northview Middle","Hickory City Schools","C - 68","Exceeded","61.0","57"
"Grandview Middle","Hickory City Schools","D - 48","NotMet","44.5","71"
"Hickory Career Arts Magnet High School","Hickory City Schools","D - 45","NotMet","24.5","88"
"Hickory High","Hickory City Schools","C - 62","NotMet","51.7","51"
"W M Jenkins Elementary","Hickory City Schools","C - 67","Exceeded","61.9","48"
"Longview Elementary","Hickory City Schools","D - 54","Met","47.0","100"
"Oakwood Elementary","Hickory City Schools","B - 77","Exceeded","73.4","56"
"Southwest Elementary","Hickory City Schools","D - 41","Met","32.0","96"
"Viewmont Elementary","Hickory City Schools","D - 49","NotMet","46.1","68"
"Don D Steed Elementary","Hoke County Schools","B - 70","Exceeded","64.3","49"
"Hoke County High","Hoke County Schools","C - 65","Exceeded","45.9","65"
"J W McLauchlin Elementary","Hoke County Schools","C - 58","Exceeded","49.5","100"
"West Hoke Middle","Hoke County Schools","D - 48","Exceeded","38.3","90"
"Scurlock Elementary","Hoke County Schools","D - 48","Met","40.5","82"
"Hawk Eye Elementary","Hoke County Schools","D - 50","Met","42.1","100"
"East Hoke Middle","Hoke County Schools","C - 55","Met","48.5","65"
"West Hoke Elementary","Hoke County Schools","D - 46","Met","36.2","100"
"Rockfish Hoke Elementary","Hoke County Schools","B - 73","Exceeded","69.5","43"
"J W Turlington School","Hoke County Schools","NA - NA","NA","11.4","100"
"Upchurch Elementary","Hoke County Schools","C - 61","Met","55.8","78"
"Sandy Grove Elementary","Hoke County Schools","D - 51","Met","45.1","71"
"Sandy Grove Middle","Hoke County Schools","C - 63","Exceeded","54.3","65"
"SandHoke Early College High","Hoke County Schools","B - 77","Exceeded","65.8","49"
"Mattamuskeet Elementary","Hyde County Schools","C - 60","NotMet","57.1","80"
"Ocracoke School","Hyde County Schools","A - 86","Met","86.4","68"
"Mattamuskeet Early College High","Hyde County Schools","D - 50","Met","33.8","81"
"Brawley Middle","Iredell-Statesville Schools","B - 77","Exceeded","72.8","16"
"Career Academy and Technical School","Iredell-Statesville Schools","C - 69","Met","53.3","0"
"Celeste Henkel Elementary","Iredell-Statesville Schools","C - 61","Met","55.7","67"
"Central Elementary","Iredell-Statesville Schools","B - 75","Met","73.2","47"
"Coddle Creek Elementary","Iredell-Statesville Schools","B - 76","Met","73.9","29"
"Cloverleaf Elementary","Iredell-Statesville Schools","D - 51","Exceeded","41.6","69"
"Collaborative College for Technology","Iredell-Statesville Schools","A - 95","Exceeded","92.2","35"
"Cool Spring Elementary","Iredell-Statesville Schools","B - 75","Exceeded","70.7","50"
"East Iredell Elementary","Iredell-Statesville Schools","D - 49","Exceeded","39.9","77"
"East Iredell Middle","Iredell-Statesville Schools","D - 41","NotMet","37.0","70"
"Harmony Elementary","Iredell-Statesville Schools","C - 68","Exceeded","61.8","72"
"Lake Norman High","Iredell-Statesville Schools","B - 81","Met","71.3","9"
"Lake Norman Elementary","Iredell-Statesville Schools","B - 79","Met","77.5","13"
"Lakeshore Elementary","Iredell-Statesville Schools","B - 73","Exceeded","69.9","23"
"Lakeshore Middle","Iredell-Statesville Schools","C - 66","NotMet","65.0","30"
"Monticello School","Iredell-Statesville Schools","NA - NA","NA","13.0","83"
"Mount Mourne School","Iredell-Statesville Schools","A - 90","Met","94.6","5"
"N B Mills Elementary","Iredell-Statesville Schools","F - 39","Met","28.6","93"
"North Iredell High","Iredell-Statesville Schools","C - 59","NotMet","47.5","41"
"Northview School","Iredell-Statesville Schools","A+ - 88","Exceeded","87.6","28"
"Scotts Elementary","Iredell-Statesville Schools","C - 62","Met","56.3","69"
"North Iredell Middle","Iredell-Statesville Schools","C - 56","Met","50.1","53"
"Pressly School","Iredell-Statesville Schools","NA - NA","NA","7.3","90"
"Statesville Middle","Iredell-Statesville Schools","F - 25","NotMet","18.5","90"
"Statesville High","Iredell-Statesville Schools","D - 51","NotMet","29.1","59"
"Visual and Performing Arts Center","Iredell-Statesville Schools","B - 83","Exceeded","76.5","33"
"Sharon Elementary","Iredell-Statesville Schools","B - 71","Met","68.8","52"
"Shepherd Elementary","Iredell-Statesville Schools","B - 71","Met","70.4","46"
"South Iredell High","Iredell-Statesville Schools","B - 76","Met","71.8","30"
"Third Creek Elementary","Iredell-Statesville Schools","D - 49","Exceeded","39.8","86"
"Troutman Elementary","Iredell-Statesville Schools","C - 63","Exceeded","56.0","55"
"Troutman Middle","Iredell-Statesville Schools","D - 48","NotMet","46.7","58"
"Union Grove Elementary","Iredell-Statesville Schools","C - 65","Exceeded","59.5","62"
"West Iredell High","Iredell-Statesville Schools","C - 56","NotMet","35.5","52"
"West Iredell Middle","Iredell-Statesville Schools","F - 37","NotMet","33.9","63"
"Woodland Heights Elementary","Iredell-Statesville Schools","B - 80","NotMet","82.8","8"
"Blue Ridge Early College","Jackson County Schools","C - 60","NotMet","51.1","57"
"Cullowhee Valley School","Jackson County Schools","C - 60","Met","54.3","60"
"Fairview Elementary","Jackson County Schools","C - 66","Exceeded","60.9","59"
"Blue Ridge School","Jackson County Schools","D - 48","Met","39.3","80"
"Jackson Co Early College","Jackson County Schools","A - 86","Met","81.7","43"
"Jackson Co Sch of Alternatives","Jackson County Schools","NA - NA","NA","28.9","98"
"Scotts Creek Elementary","Jackson County Schools","D - 52","NotMet","49.5","59"
"Smokey Mountain Elementary","Jackson County Schools","D - 48","Met","40.2","76"
"Smoky Mountain High","Jackson County Schools","B - 71","Met","55.3","49"
"Benson Elementary","Johnston County Schools","D - 49","NotMet","45.3","66"
"Benson Middle","Johnston County Schools","C - 58","Met","51.0","54"
"Clayton High","Johnston County Schools","B - 73","Exceeded","57.8","26"
"West Clayton Elementary","Johnston County Schools","C - 64","Met","59.8","38"
"Cleveland High","Johnston County Schools","B - 82","Exceeded","71.5","21"
"Cleveland Elementary","Johnston County Schools","B - 75","Met","76.0","27"
"Cleveland Middle","Johnston County Schools","B - 83","Exceeded","79.1","22"
"Cooper Elementary","Johnston County Schools","D - 51","NotMet","48.5","56"
"Corinth-Holders Elementary","Johnston County Schools","C - 65","Met","60.0","61"
"Corinth Holders High","Johnston County Schools","B - 80","Exceeded","68.8","22"
"Dixon Road Elementary","Johnston County Schools","C - 65","Met","62.4","38"
"East Clayton Elementary","Johnston County Schools","B - 74","Exceeded","70.5","22"
"Four Oaks Elementary","Johnston County Schools","C - 58","Met","51.1","58"
"Four Oaks Middle","Johnston County Schools","C - 60","Exceeded","52.9","52"
"North Johnston Middle","Johnston County Schools","D - 52","Met","47.2","55"
"Glendale-Kenly Elementary","Johnston County Schools","C - 57","NotMet","54.9","57"
"Johnston Co Middle College","Johnston County Schools","A - 99","NA","NA","10"
"McGee's Crossroads Elem","Johnston County Schools","C - 62","Met","57.9","39"
"McGee's Crossroads Middle","Johnston County Schools","C - 64","Exceeded","57.4","34"
"Meadow School","Johnston County Schools","C - 62","Met","56.6","48"
"Archer Lodge Middle","Johnston County Schools","C - 66","Met","61.5","36"
"Johnston Co Early College Academy","Johnston County Schools","A - 93","Exceeded","90.6","34"
"North Johnston High","Johnston County Schools","B - 70","Exceeded","51.1","44"
"Micro-Pine Level Elementary","Johnston County Schools","C - 57","Met","50.4","61"
"Powhatan Elementary","Johnston County Schools","B - 71","NotMet","73.9","15"
"Princeton Elementary","Johnston County Schools","C - 62","Met","57.4","50"
"Princeton High","Johnston County Schools","C - 69","Exceeded","58.0","42"
"River Dell Elementary","Johnston County Schools","C - 66","NotMet","67.9","23"
"Riverwood Elementary","Johnston County Schools","B - 71","Met","71.2","18"
"Riverwood Middle","Johnston County Schools","B - 75","Exceeded","69.7","21"
"South Campus Community High","Johnston County Schools","NA - NA","NA","17.6","68"
"South Campus Community Middle","Johnston County Schools","NA - NA","NA","14.9","100"
"Selma Elementary","Johnston County Schools","D - 49","Exceeded","38.9","88"
"Selma Middle School","Johnston County Schools","F - 37","NotMet","30.8","77"
"West Smithfield Elementary","Johnston County Schools","D - 46","Exceeded","34.5","92"
"Smithfield Middle","Johnston County Schools","D - 54","Met","46.7","69"
"Smithfield-Selma High","Johnston County Schools","D - 51","NotMet","38.1","54"
"South Johnston High","Johnston County Schools","C - 68","Met","50.8","42"
"South Smithfield Elementary","Johnston County Schools","D - 54","Met","49.2","79"
"West Johnston High","Johnston County Schools","C - 69","NotMet","57.5","23"
"Wilson's Mills Elementary","Johnston County Schools","B - 71","Exceeded","65.6","67"
"Polenta Elementary","Johnston County Schools","C - 61","Met","56.0","33"
"Clayton Middle","Johnston County Schools","C - 63","Exceeded","57.5","36"
"West View Elementary","Johnston County Schools","B - 73","Met","70.2","21"
"Pollocksville Elementary","Jones County Schools","D - 50","Exceeded","38.7","85"
"Comfort Elementary","Jones County Schools","D - 51","Met","43.9","88"
"Jones Senior High","Jones County Schools","B - 70","Met","51.6","78"
"Jones Middle","Jones County Schools","C - 69","Met","65.2","79"
"Maysville Elementary","Jones County Schools","D - 50","NotMet","44.7","81"
"Trenton Elementary","Jones County Schools","C - 69","Exceeded","62.8","82"
"A L Brown High","Kannapolis City Schools","C - 58","NotMet","40.5","61"
"Forest Park Elementary","Kannapolis City Schools","C - 63","Exceeded","55.4","68"
"Fred L Wilson Elementary","Kannapolis City Schools","D - 45","Met","37.7","85"
"Jackson Park Elementary","Kannapolis City Schools","D - 52","Met","45.2","78"
"Kannapolis Intermediate","Kannapolis City Schools","D - 42","NotMet","39.9","77"
"Kannapolis Middle","Kannapolis City Schools","D - 44","NotMet","37.9","73"
"Shady Brook Elementary","Kannapolis City Schools","C - 58","Exceeded","51.4","75"
"Woodrow Wilson Elementary","Kannapolis City Schools","D - 49","Met","42.6","85"
"BT Bullock Elementary","Lee County Schools","C - 56","NotMet","52.3","78"
"Bragg Street Academy","Lee County Schools","NA - NA","NA","10.6","84"
"Broadway Elementary","Lee County Schools","D - 50","NotMet","47.3","78"
"Deep River Elementary","Lee County Schools","C - 57","Met","51.5","81"
"East Lee Middle","Lee County Schools","D - 49","NotMet","44.5","65"
"Floyd L Knight Children Center","Lee County Schools","NA - NA","NA","12.2","60"
"Greenwood Elementary","Lee County Schools","C - 59","Met","56.3","79"
"Lee Early College","Lee County Schools","B - 73","NotMet","58.4","51"
"Lee County High","Lee County Schools","D - 54","NotMet","35.4","53"
"J Glenn Edwards Elementary","Lee County Schools","C - 59","Met","54.0","82"
"SanLee Middle School","Lee County Schools","D - 54","NotMet","52.9","73"
"Southern Lee High School","Lee County Schools","C - 56","NotMet","40.5","57"
"Tramway Elementary","Lee County Schools","C - 69","NotMet","70.1","39"
"J R Ingram Jr Elementary","Lee County Schools","C - 62","NotMet","60.6","63"
"West Lee Middle","Lee County Schools","D - 52","Met","48.0","62"
"Warren Williams Elementary Alternative","Lee County Schools","NA - NA","NA","33.3","94"
"Banks Elementary","Lenoir County Public Schools","C - 65","Met","60.9","45"
"Contentnea-Savannah School","Lenoir County Public Schools","D - 47","NotMet","42.9","56"
"E B Frink Middle","Lenoir County Public Schools","D - 46","NotMet","44.0","40"
"Kinston High","Lenoir County Public Schools","D - 44","NotMet","21.0","60"
"La Grange Elementary","Lenoir County Public Schools","D - 54","Met","46.1","60"
"Lenoir County Early College High","Lenoir County Public Schools","B - 74","NotMet","70.2","34"
"Lenoir County Learning Academy","Lenoir County Public Schools","NA - NA","NA","5.0","52"
"Moss Hill Elementary","Lenoir County Public Schools","C - 66","Met","64.6","55"
"North Lenoir High","Lenoir County Public Schools","D - 54","NotMet","32.0","35"
"Northeast Elementary","Lenoir County Public Schools","F - 34","NotMet","25.7","85"
"Northwest Elementary","Lenoir County Public Schools","D - 47","Met","38.4","60"
"Pink Hill Elementary","Lenoir County Public Schools","C - 56","Exceeded","49.0","54"
"Rochelle Middle","Lenoir County Public Schools","F - 34","Met","24.1","71"
"South Lenoir High","Lenoir County Public Schools","C - 60","NotMet","45.2","32"
"Southeast Elementary","Lenoir County Public Schools","F - 30","Met","18.0","88"
"Southwood Elementary","Lenoir County Public Schools","C - 57","Met","51.9","49"
"Woodington Middle","Lenoir County Public Schools","D - 48","NotMet","46.1","42"
"Charles England Elementary School","Lexington City Schools","C - 58","Met","51.8","85"
"Lexington Middle School","Lexington City Schools","D - 47","Met","40.1","87"
"Lexington Senior High","Lexington City Schools","C - 61","Met","37.1","78"
"Pickett Elementary School","Lexington City Schools","C - 61","Met","58.4","93"
"South Lexington School","Lexington City Schools","I - NA","NA","NA","92"
"South Lexington Development Center","Lexington City Schools","NA - NA","NA","73.2","58"
"Southwest Elementary School","Lexington City Schools","C - 66","Met","61.8","91"
"Asbury School","Lincoln County Schools","NA - NA","NA","8.9","78"
"Battleground Elementary","Lincoln County Schools","D - 52","Met","45.9","100"
"Catawba Springs Elementary","Lincoln County Schools","B - 80","Exceeded","77.9","31"
"GE Massey Elementary","Lincoln County Schools","C - 68","Met","63.5","79"
"East Lincoln High","Lincoln County Schools","C - 69","NotMet","59.4","35"
"East Lincoln Middle","Lincoln County Schools","B - 71","Met","68.2","35"
"Kiser Intermediate","Lincoln County Schools","C - 56","Met","50.2","81"
"Iron Station Elementary","Lincoln County Schools","C - 66","Met","61.9","58"
"LCST","Lincoln County Schools","I - NA","NA","NA","NA"
"Lincolnton High","Lincoln County Schools","C - 63","NotMet","46.7","66"
"Lincolnton Middle","Lincoln County Schools","C - 62","Exceeded","53.2","72"
"Love Memorial Elementary","Lincoln County Schools","C - 63","Met","57.3","63"
"Childers Elementary","Lincoln County Schools","B - 75","Met","73.3","62"
"North Brook Elementary","Lincoln County Schools","C - 69","Exceeded","64.5","59"
"North Lincoln High","Lincoln County Schools","B - 81","Exceeded","71.9","29"
"Pumpkin Center Primary","Lincoln County Schools","I - NA","NA","NA","43"
"Pumpkin Center Intermediate","Lincoln County Schools","B - 74","Met","72.3","37"
"North Lincoln Middle","Lincoln County Schools","B - 76","Met","75.5","33"
"Rock Springs Elementary","Lincoln County Schools","B - 77","Met","75.6","27"
"S Ray Lowder Elementary","Lincoln County Schools","C - 63","Met","60.2","71"
"St James Elementary","Lincoln County Schools","B - 80","Met","80.5","28"
"Union Elementary","Lincoln County Schools","B - 79","Exceeded","76.5","51"
"West Lincoln High","Lincoln County Schools","C - 66","NotMet","54.7","53"
"West Lincoln Middle","Lincoln County Schools","C - 62","Met","57.5","60"
"Cartoogechaye Elementary","Macon County Schools","C - 69","Exceeded","64.0","70"
"East Franklin Elementary","Macon County Schools","C - 58","Met","52.8","79"
"Franklin High","Macon County Schools","C - 63","NotMet","49.1","59"
"Highlands School","Macon County Schools","B - 72","Met","64.2","49"
"Iotla Valley Elementary","Macon County Schools","C - 67","Met","62.7","79"
"Macon Early College High School","Macon County Schools","B - 82","Met","73.4","48"
"Macon Middle School","Macon County Schools","C - 61","Met","55.7","66"
"Mountain View Intermediate","Macon County Schools","D - 52","NotMet","52.0","69"
"Nantahala School","Macon County Schools","C - 61","Met","55.0","83"
"South Macon Elementary","Macon County Schools","B - 72","Exceeded","67.6","73"
"Union Academy","Macon County Schools","NA - NA","NA","14.8","90"
"Brush Creek Elementary","Madison County Schools","B - 70","Met","67.0","69"
"Hot Springs Elementary","Madison County Schools","C - 69","Met","65.8","81"
"Laurel Elementary","Madison County Schools","C - 61","Met","55.6","90"
"Madison Early College High","Madison County Schools","A - 87","Exceeded","87.1","48"
"Madison High","Madison County Schools","C - 64","NotMet","48.3","57"
"Madison Middle","Madison County Schools","C - 62","Exceeded","55.7","61"
"Mars Hill Elementary","Madison County Schools","B - 74","Exceeded","70.6","61"
"Williamston Primary","Martin County Schools","I - NA","NA","NA","69"
"E J Hayes Elementary","Martin County Schools","D - 46","NotMet","42.6","63"
"East End Elementary","Martin County Schools","F - 33","NotMet","25.0","61"
"Edna Andrews Elementary","Martin County Schools","D - 41","Met","33.5","59"
"Jamesville Elementary","Martin County Schools","D - 51","NotMet","47.1","46"
"South Creek High","Martin County Schools","C - 66","Met","50.7","38"
"South Creek Middle","Martin County Schools","C - 56","Met","49.4","54"
"Rodgers Elementary","Martin County Schools","D - 49","Met","41.9","46"
"Riverside High","Martin County Schools","C - 58","NotMet","43.3","38"
"Riverside Middle","Martin County Schools","D - 44","NotMet","41.2","55"
"Eastfield Global Magnet","McDowell County Schools","D - 49","NotMet","46.5","100"
"East McDowell Middle","McDowell County Schools","C - 56","NotMet","54.7","64"
"Glenwood Elementary","McDowell County Schools","C - 69","Exceeded","63.6","82"
"Marion Elementary","McDowell County Schools","C - 57","NotMet","56.1","90"
"McDowell Early College","McDowell County Schools","A - 85","Met","81.5","39"
"McDowell High","McDowell County Schools","C - 59","NotMet","45.3","54"
"Nebo Elementary","McDowell County Schools","D - 51","NotMet","48.6","91"
"North Cove Elementary","McDowell County Schools","C - 62","Met","59.2","77"
"Old Fort Elementary","McDowell County Schools","C - 60","Met","56.3","88"
"Pleasant Gardens Elementary","McDowell County Schools","D - 50","NotMet","47.1","70"
"West Marion Elementary","McDowell County Schools","C - 59","Met","52.4","98"
"West McDowell Middle","McDowell County Schools","C - 58","Met","53.7","61"
"McDowell AEC","McDowell County Schools","NA - NA","NA","20.3","78"
"Bowman Middle","Mitchell County Schools","C - 65","Met","60.9","52"
"Deyton Elementary","Mitchell County Schools","C - 65","Exceeded","58.6","63"
"Gouge Elementary","Mitchell County Schools","D - 52","Met","44.2","62"
"Greenlee Primary","Mitchell County Schools","I - NA","NA","NA","67"
"Harris Middle","Mitchell County Schools","C - 59","Met","56.6","60"
"Mayland Early College","Mitchell County Schools","B - 74","Met","66.7","69"
"Mitchell High","Mitchell County Schools","B - 70","Met","57.0","47"
"Montgomery Learning Academy","Montgomery County Schools","NA - NA","NA","<5","87"
"Candor Elementary","Montgomery County Schools","C - 59","Met","54.4","92"
"East Middle","Montgomery County Schools","D - 52","Exceeded","42.8","87"
"East Montgomery High","Montgomery County Schools","B - 74","Exceeded","54.4","69"
"Green Ridge Elementary","Montgomery County Schools","C - 56","Exceeded","45.4","87"
"Mount Gilead Elementary","Montgomery County Schools","D - 54","Met","47.6","78"
"Page Street Elementary","Montgomery County Schools","C - 66","Met","60.9","63"
"Star Elementary","Montgomery County Schools","C - 63","Met","58.0","73"
"Troy Elementary","Montgomery County Schools","I - NA","NA","NA","66"
"West Middle","Montgomery County Schools","D - 50","Met","43.3","65"
"West Montgomery High","Montgomery County Schools","C - 55","NotMet","36.9","60"
"Aberdeen Primary","Moore County Schools","I - NA","NA","NA","78"
"Aberdeen Elementary","Moore County Schools","D - 41","NotMet","35.0","78"
"Cameron Elementary","Moore County Schools","D - 54","NotMet","53.4","58"
"Carthage Elementary","Moore County Schools","C - 66","Exceeded","60.0","59"
"Crain's Creek Middle","Moore County Schools","C - 63","Exceeded","56.0","49"
"Elise Middle","Moore County Schools","D - 52","Exceeded","40.9","89"
"Sandhills Farm Life Elementary","Moore County Schools","B - 76","Met","74.2","22"
"Highfalls Elementary","Moore County Schools","C - 61","NotMet","58.8","42"
"The Community Learning Center @ Pinckney","Moore County Schools","NA - NA","NA","6.2","83"
"New Century Middle","Moore County Schools","B - 70","Met","69.3","36"
"North Moore High","Moore County Schools","C - 69","Met","52.2","54"
"Pinecrest High","Moore County Schools","B - 72","Met","59.6","32"
"Pinehurst Elementary","Moore County Schools","B - 79","Exceeded","76.8","15"
"Robbins Elementary","Moore County Schools","F - 39","NotMet","33.3","89"
"Southern Middle","Moore County Schools","D - 50","NotMet","47.5","59"
"Southern Pines Primary","Moore County Schools","I - NA","NA","NA","55"
"Southern Pines Elementary","Moore County Schools","C - 64","Met","61.3","50"
"Union Pines High","Moore County Schools","B - 74","Exceeded","57.2","33"
"Vass-Lakeview Elementary","Moore County Schools","C - 63","NotMet","62.0","56"
"West End Elementary","Moore County Schools","C - 64","NotMet","63.6","38"
"West Pine Elementary","Moore County Schools","B - 84","Exceeded","82.7","33"
"West Pine Middle","Moore County Schools","B - 72","NotMet","74.4","26"
"Westmoore Elementary","Moore County Schools","C - 62","Exceeded","55.9","54"
"East Mooresville Intermediate","Mooresville City Schools","C - 69","NotMet","71.4","40"
"NF Woods Adv Tech and Arts Center","Mooresville City Schools","I - NA","NA","NA","NA"
"Mooresville Intermediate","Mooresville City Schools","C - 67","NotMet","68.6","40"
"Mooresville Middle","Mooresville City Schools","C - 65","NotMet","67.9","35"
"Mooresville Senior High","Mooresville City Schools","B - 80","Exceeded","70.9","34"
"Park View Elementary","Mooresville City Schools","B - 83","Exceeded","81.2","50"
"Rocky River Elementary","Mooresville City Schools","B - 82","NotMet","84.8","29"
"South Elementary","Mooresville City Schools","B - 81","Exceeded","79.3","60"
"Bruce H Tharrington Elem","Mount Airy City Schools","I - NA","NA","NA","72"
